UNIQUE_IDENTIFIER,NUM_NEARBY_SHIPS
18 3500044,0
18 3500070,0
18 3500074,0
18 3500078,0
18 3500083,0
18 3500084,0
18 3500088,0
18 3500102,0
18 3500103,0
18 3500111,0
18 3500137,0
18 3700004,0
18 3700048,0
18 3700054,0
18 3700059,0
18 3700060,0
18 3700063,0
18 3700064,0
18 3700065,0
18 3700067,0
18 3700073,0
18 3700074,0
18 3700076,0
18 3700079,0
18 3700150,0
18 3700151,0
18 3900036,0
18 3900061,0
18 4000042,0
18 4000049,0
18 4000124,0
18 4400013,0
18 4400014,0
18 4400015,0
18 4400038,0
18 4400040,0
18 4400041,0
18 4400042,0
18 4500033,0
18 4500112,0
18 4500114,0
18 4500120,0
18 4500121,0
18 4500122,0
18 4500134,0
18 4500135,1
18 4500136,0
18 4500137,0
18 4500138,0
18 4500139,0
18 4500172,0
18 4500207,0
18 4500228,0
18 4600023,0
18 4600053,0
18 4600056,0
18 4600059,0
18 4600090,0
18 4600091,0
18 4600122,0
18 4600143,1
18 4600152,0
18 5300007,0
18 5300008,0
18 5300010,0
18 5300031,0
18 5300077,0
18 5300078,0
18 5300112,0
18 5300118,0
18 5300175,0
18 5600040,0
18 5600080,0
18 5600081,0
18 5600091,0
18 5600093,0
18 5600095,0
18 6200008,0
18 6200012,0
18 6200046,0
18 6200049,0
18 6200082,0
18 6400021,0
18 6400037,0
18 6400045,0
18 6400173,0
18 6400185,0
18 6500326,0
18 6700150,0
18 6700164,0
18 6700175,0
18 6700194,0
18 6700197,0
18 6700249,0
18 7100002,0
18 7100006,0
18 7100010,0
18 7100011,0
18 7100015,0
18 7100027,0
18 7100033,0
18 7100037,0
18 7100047,0
18 7100051,0
18 7100052,0
18 7100076,0
18 7100088,0
18 7100118,0
18 7100119,0
18 7100120,0
18 7100122,0
18 8100020,0
18 8300044,0
18 8300049,0
18 9000081,0
18 9000130,0
18 9000144,0
18 9000153,0
19 000000000013520,0
19 000000000020515,0
19 000000000020860,0
19 000000000021055,0
19 000000000023441,0
19 000000000023880,0
19 000000000025301,0
19 000000000027321,0
19 000000000029941,0
19 000000000031601,0
19 000000000033201,0
19 000000000036100,0
19 000000000036810,0
19 000000000038201,0
19 000000000043571,0
19 000000000045082,0
19 000000000045670,0
19 000000000047020,0
19 000000000047281,0
19 000000000047291,0
19 000000000047720,0
19 000000000052811,0
19 000000000087451,0
19 000000000087541,0
19 000000000087841,0
19 000000000088161,0
19 000000000088211,0
19 000000000088301,0
19 000000000088321,0
19 000000000088341,0
19 000000000088571,0
19 000000000088576,0
19 000000000088631,0
19 000000000089151,0
19 000000000089251,0
19 000000000089291,0
19 000000000105521,0
19 000000000355781,0
19 000000000355851,0
19 000000000366790,0
19 000000000600690,0
19 000000000600765,0
19 000000000603300,0
19 000000000603305,0
19 000000000604440,0
19 000000000609905,0
19 000000000700110,0
20 414301052560002,0
20 514301050000021,0
20 999903600220281,0
20 999903600220291,0
20 999905400873761,0
20 999905900030551,0
20 999906901053391,0
20 999907001050311,0
20 999909200520261,0
20 999943501052351,0
20 999943501052401,0
20 999963501051661,0
21 004B00021N,0
21 008B00052N,0
21 010B00040N,0
21 010B00046L,0
21 010B00046R,0
21 010B00058N,0
